,At,Sentimen,Review,Bintang,Aspek,data_cleaned
19,2020-10-12 12:08:05,1,"Ngeliat ulasan orang2 saya kaget..pertama x belanja di sini,, alhamdulillah lancar2 aja..brngnya jg sampenya lumyan cpt qo (2 hari)..",5,Layanan,melihat ulasan orang orang saya kaget .. pertama kali belanja di sini alhamdulillah lancar lancar aja .. brngnya juga sampai lumayan cepat kok hari
20,2020-10-12 11:18:12,-1,"Sementara ini dua dulu, bingung banget ngetrack paketnya kalau sudah diperbaiki nambah bintangnya",2,Tampilan,sementara ini dua dulu bingung sekali ngetrack paketnya kalau sudah diperbaiki ditambah bintangnya
21,2020-10-12 10:00:25,1,One stop shopping make up and skin care,5,Lainnya,one stop shopping make up and skin care
22,2020-10-12 08:25:07,1,Mantep,5,Lainnya,mantap
23,2020-10-11 23:41:15,1,Ok,5,Lainnya,oke
24,2020-10-11 22:53:16,1,"aplikasi yang bagus, membantu saya sekali untuk membeli dan melihat review produk-produk kecantikan. tapi yang agak disayangkan, kadang suka ada bug atau section wishlist yang harus direfresh berulang2 dan scroll ke bawahnya yang agak lama gitu, bahkan kadang produk yang sebenernya udah saya wishlist, eh di section wishlistnya engga ada. terus reviewnya juga nge-bug. untuk ke depannya semoga ada upgrade buat fixin bugnya~",4,Tampilan,aplikasi yang bagus membantu saya sekali untuk membeli dan melihat review produk produk kecantikan tetapi yang sedikit disayangkan terkadang suka ada bug atau section wishlist yang harus direfresh berulang ulang dan scroll ke bawahnya yang sedikit lama begitu bahkan terkadang produk yang sebenarnya udah saya wishlist lalu di section wishlistnya tidak ada terus reviewnya juga nge bug untuk ke depannya semoga ada upgrade untuk fixin bugnya
25,2020-10-11 22:36:37,1,barang ori n harga bersaing,5,Produk,barang original dan harga bersaing
26,2020-10-11 21:42:18,1,Bagus,5,Lainnya,bagus
27,2020-10-11 16:58:59,1,Good,5,Lainnya,good
28,2020-10-11 15:12:29,-1,"Kecewa sm sociolla, pembayaran pake sopipay ga detect akhirnya gagal co. Trus tiba2 cancel orderan dan refund dananya 7harian lama banget. Org kan mau beli yg lain jd terkendala. Kesellll",2,Layanan,kecewa dengan sociola pembayaran pakai shopeepay tidak detect akhirnya gagal cash on delivery lalu tiba tiba cancel orderan dan refund dananya 7harian lama sekali orang kan ingin membeli yang lain menjadi terkendala kesal
29,2020-10-11 15:07:49,-1,"Baik sekali produk dari sociolla emang keren, apalagi flash salenya wowwww, maxasih sociolla",1,Produk,baik sekali produk dari sociola memang keren apalagi flash salenya wah terima kasih sociola
30,2020-10-11 11:39:25,1,Good,5,Lainnya,good
31,2020-10-10 23:43:37,0,kacau sih katanya gratis ongkir ternyata masi diminta ongkir hehe,3,Layanan,kacau sih katanya gratis ongkir ternyata masih diminta ongkir tertawa
32,2020-10-10 18:08:41,1,"Selama ini barang yang di kirim dari sociolla ke saya selalu bagus sih. Kemaren sempet udah payment tapi ternyata ada salah satu stock barang mereka ada yang out of stock. mereka langsung info. Cuman, ya. Kalo saran aku sebaiknya fitur di sociolla ditambah deh, seperti tanya ketersediaan barang gitu. Sama seperti nya kalo misal kaya kejadian aku kemaren. Tolong dikirim notifikasi dari soco nya langsung supaya tau kalo ternyata barangnya gk ready. Udh segitu aja, semoga soco sukses trus amin 😊",4,Tampilan,selama ini barang yang di kirim dari sociola ke saya selalu bagus sih kemarin sempat udah payment tetapi ternyata ada salah satu stock barang mereka ada yang out of stock mereka langsung info hanya ya kalau saran saya sebaiknya fitur di sociola ditambah deh seperti tanya ketersediaan barang begitu sama seperti nya kalau misal seperti kejadian saya kemarin tolong dikirim notifikasi dari soco nya langsung supaya tahu kalau ternyata barangnya tidak ready sudah segitu saja semoga soco sukses lalu amin
33,2020-10-10 11:09:53,-1,Kecewa banget hampir sejam ngurusin proses pembayaran via shopee pay nggak bisa. Selalu muncul kalimat bahwa aplikasi tsb tidak terinstal padahal jelas jelas punya aplikasinya. Tanya via wa no respon email apalagi. Ribet banget ketimbang mau bayar doang. Sampai pesanan saya dibatalkan saya ulangi lagi voucher yg udah di reedem tadi sudah tidak bisa digunakan. Diulang pesen lagi tetep g bisa. Ribet banget asli.,1,Layanan,kecewa sekali hampir sejam mengurus proses pembayaran via shopee pay tidak bisa selalu tampak kalimat bahwa aplikasi tersebut tidak terinstal padahal jelas jelas punya aplikasinya tanya via whatsapp no respon email apalagi sulit sekali ketimbang ingin bayar doang sampai pesanan saya dibatalkan saya ulangi sedang voucher yang udah di reedem tadi sudah tidak bisa digunakan diulang pesan sedang tetap tidak bisa sulit sekali asli
34,2020-10-09 19:54:51,1,Barang original harga lebih murah,5,Produk,barang original harga lebih murah
35,2020-10-09 11:37:12,1,Produknya dijamin ori & ber bpom,5,Produk,produknya dijamin original ber bpom
36,2020-10-09 11:17:50,1,Ini bagus tp to gw bingung waktu mau log in,4,Tampilan,ini bagus tetapi kok saya bingung waktu ingin log ini
37,2020-10-08 17:51:13,-1,"Ini pertama kali pake aplikasi ini. Kesannya kecewa sekali. Saya pesan 3 item, tapi yg di kirim cuma 1 item, yang 2 harus reorder lagi padahal sudah bayar lewat indomaret tapi di cancel oleh aplikasi. DM lewat ig dan e-mail tapi tdk ada jawaban knp tbtb di cancel.",1,Layanan,ini pertama kali pakai aplikasi ini kesannya kecewa sekali saya pesan item tetapi yang di kirim hanya item yang harus reorder sedang padahal sudah bayar lewat indomaret tetapi di cancel oleh aplikasi dm lewat ig dan email tetapi tidak ada jawaban mengapa tiba tiba di cancel
38,2020-10-07 10:47:56,1,Freongx bikin ngiler mau belanja z,5,Layanan,free ongkir membuat tertarik ingin belanja saja
39,2020-10-06 21:21:24,1,Ditunggu promo promonya lagiii,4,Lainnya,ditunggu promo promonya lagi
40,2020-10-06 18:02:00,0,Dahlahhhhhhh,3,Lainnya,sudahlah
41,2020-10-06 17:41:28,-1,saya ksh bintang 2 dlu ya krna saya bru mencoba n baru dowload aplikasi socioLLa ini smoga aplikasi ini produk2 yg ada di dlm nya bner2 100% ori n 100% smpe ditangan konsumen dgn aman n sesuai dgn di gambar agar konsumen merasa puas n slalu berlanggan socioLLa ini amin ya allah..... 😘😘😘😘😘,2,Layanan,saya kasih bintang dahulu ya karena saya baru mencoba dan baru dowload aplikasi sociola ini semoga aplikasi ini produk produk yang ada di dalam nya benar benar 100 original dan 100 sampai ditangan konsumen dengan aman dan sesuai dengan di gambar supaya konsumen merasa puas dan selalu berlanggan sociola ini amin ya allah
42,2020-10-06 15:11:48,-1,"Malu-maluin banget sih sekelas Sociolla ternyata masih ambil 'main' di ongkir. Sebelumnya order selalu di atas 250rb, jadi free ongkir. Giliran sekarang baru banget pertama kali order dengan ongkir, oh baru tahu ternyata Sociolla 'kemaruk' juga masih main di ongkir. Tarif ke alamat saya kena 22.000, itu emang bener, tarif dengan JNE atau J&T. Ternyata apa? Dikirimnya via Wahana yang ongkir ke alamat saya cuma 7.000 wkwkkwk. Doyan begini juga nih ternyata. Yakali 15.000 x 500 customer sehari 💩",1,Layanan,memalukan sekali sih sekelas sociola ternyata masih mengambil main di ongkir sebelumnya order selalu di atas 250 rb jadi free ongkir saat sekarang baru sekali pertama kali order dengan ongkir oh baru tahu ternyata sociola kemaruk juga masih main di ongkir tarif ke alamat saya mendapatkan 22.00 itu memang benar tarif dengan jne atau ternyata apa dikirimnya via wahana yang ongkir ke alamat saya hanya 7.00 tertawa suka seperti juga nih ternyata bagaimana bisa 15.00 kali 500 customer sehari
43,2020-10-06 14:21:27,0,Pertama kali Belanja d sini aga ribet yaa.. uda gitu pengiriman lama.. ga ada pilihan jasa kirimnya lg...nunda* mau pergi .. eh ga jd dateng barangny 😪,3,Layanan,pertama kali belanja di sini sedikit sulit ya sudah begitu pengiriman lama tidak ada pilihan jasa kirimnya lagi nunda ingin pergi lalu tidak menjadi datang barang
44,2020-10-06 13:01:25,-1,"Sdh di bayar full,,tiba2 di info barang kosong,,,pas udh di batalin ehh sampe skrg dana blm jg dikembaliin CS di email pada gk respon...asli kecewa banget,gk mau lg order dsni.",1,Layanan,sudah di bayar full tiba tiba di info barang kosong saat sudah di batalin lalu sampe sekarang dana belum juga dikembalikan customer service di email pada tidak respon asli kecewa sekali tidak ingin lagi order disini
45,2020-10-06 04:53:52,-1,"Please balikin uangku yg udah saya transfer. Saya udah keep udah langsung tf. Lama nunggu barang gak dikirim langsung dicancel. Gak ada pemberitahuan apa². Memang 130 ribu itu gak banyak, tapi saya kerja juga pakai tenaga dan pikiran. Capek juga. Malah ditipu kayak gini. Mohon segera diproses dan kembalikan uang saya. 😠",1,Layanan,please balikin uangku yang udah saya transfer saya udah keep udah langsung tf lama menunggu barang tidak dikirim langsung dicancel tidak ada pemberitahuan apa apa memang 130 ribu itu tidak banyak tetapi saya kerja juga pakai tenaga dan pikiran lelah juga menjadi ditipu kayak gini mohon segera diproses dan kembalikan uang saya
46,2020-10-05 22:39:37,-1,Ecommerse ter trusted tapi kenapa yaaa dikit dikit minta updateee:( capek akutu update melulu,2,Tampilan,ecommerse ter trusted tetapi mengapa ya dikit dikit pinta update lelah aku itu update selalu
47,2020-10-05 20:27:38,-1,Update terus tapi tetep lemot. Heuft,1,Tampilan,update terus tetapi tetap lama kecewa
48,2020-10-05 10:28:25,-1,"Kecewa, saya pesan barang senka yg twinpack tapi hanya datang satu saja",2,Layanan,kecewa saya pesan barang senka yang twinpack tetapi hanya datang satu saja
49,2020-10-04 20:48:42,1,Suka bgt sama aplikasi nya. Banyak produk yg biasa susah di cari. Jadi lebih gampang deh,4,Produk,suka sekali sama aplikasi nya banyak produk yang biasa sulit di cari jadi lebih mudah deh
50,2020-10-04 17:19:29,-1,"Barang bisa di pesan giliran sudah payment baru diinfokan sold out, 2 kali CO semuanya do cancel. Yg 1 di cancel secara mendadak, 22 nya di cancel dengan alasan 1 produk yg sold out. Menguras emosi sekali pake apps ini. Kalo bukan karna saya punya gift card yg nilainya besar, gk mau deh belanja disini",1,Layanan,barang bisa di pesan saat sudah payment baru diinfokan sold out kali cash on delivery semuanya di cancel yang di cancel secara mendadak dua dua nya di cancel dengan alasan produk yang sold out menguras emosi sekali pakai aplikasi ini kalau bukan karena saya punya gift card yang nilainya besar tidak ingin deh belanja disini
51,2020-10-04 01:18:25,0,free shippingnya mahal banget. Harus minimal 250k. Dan diskonan ga ikut dihitung. Males banget jadinya mau belanja,3,Layanan,free shippingnya mahal sekali harus minimal 250 ribu dan diskonan tidak ikut dihitung males sekali jadinya ingin belanja
52,2020-10-03 23:41:20,-1,Aplikasinya sering error saat mau lihat flash sale. Tolong diperbaiki!,1,Tampilan,aplikasinya selalu error saat ingin melihat flash sale tolong diperbaiki
53,2020-10-03 19:11:30,1,"Belanja jd gk kawatir lg, karena barang di jamin ORI",5,Produk,belanja menjadi tidak khawatir lagi karena barang di jamin original
54,2020-10-03 18:38:31,1,pokoknya ngah nyesel deh download ini,5,Lainnya,pokoknya tidak menyesal deh download ini
55,2020-10-03 14:32:48,0,"Tolong dong, mau pilih metode pembayaran ngga bisa2 😏😏😏 ini aplikasinya yg bermasalah atau bagaimana",3,Tampilan,tolong dong ingin memilih metode pembayaran tidak bisa bisa ini aplikasinya yang bermasalah atau bagaimana
56,2020-10-03 11:39:02,1,Thank sociolla selalu puas belanja dsini,5,Lainnya,thank sociola selalu puas belanja disini
57,2020-10-02 21:25:08,1,App yg sgt membantu & memuaskan,5,Lainnya,aplikasi yang sangat membantu memuaskan
58,2020-10-02 11:03:32,1,Ini pertama kali nya belanja di aplikasi sociolla dah bikin puas. Rapi dan cepat. Yang awalnya ragu skrg dah love bnget sm Sociolla. 😍,5,Layanan,ini pertama kali nya belanja di aplikasi sociola deh membuat puas rapih dan cepat yang awalnya ragu sekarang deh love sekali dengan sociola
59,2020-10-02 10:12:57,1,Good.. banyak promo... gratis ongkir... luvv bgt sama sociolla,5,Layanan,good banyak promo gratis ongkir love sekali sama sociola
60,2020-10-02 09:07:31,1,"Produknya terpercaya tapi masih kurang lengkap, tambahin terus ya produknya.",4,Produk,produknya terpercaya tetapi masih kurang lengkap tambahin terus ya produknya
61,2020-10-01 21:07:47,1,Sangat membantu para wanita,5,Lainnya,sangat membantu para wanita
62,2020-09-30 19:07:39,0,"Produk si kalau menurut aku udh bagus dan lumayan lengkap cuma yg bikin kecewa itu sm kurir pengirimannya. Karna tiap kali pesen kurirnya th suka nunda"" utk pengirimannya. Emank si estimasi penerimaan barang 1 minggu cuma ia masa harus nggu 1 mnggu dulu, bukannya pengiriman cepat lebih baik, itu jd nilai plusnya. Karna untuk produk yg tawarkan qlo menurut aku udah ori tp qlo kurir pengirimannya lelet dan brngnya lama bkin kecewa.",3,Layanan,produk sih kalau menurut saya sudah bagus dan lumayan lengkap hanya yang membuat kecewa itu dengan kurir pengirimannya karena setiap kali pesan kurirnya itu suka nunda untuk pengirimannya memang sih estimasi penerimaan barang minggu hanya ya heran harus menunggu minggu dulu bukannya pengiriman cepat lebih baik itu menjadi nilai plusnya karena untuk produk yang tawarkan kalau menurut saya udah original tetapi kalau kurir pengirimannya lambat dan barang lama membuat kecewa
63,2020-09-30 13:10:27,-1,"Baru download ngeliat yang dah pake aplikasi nya pada kecewa ,jadi galau 🙄",1,Lainnya,baru download melihat yang deh pakai aplikasi nya pada kecewa jadi galau
64,2020-09-30 12:00:16,-1,Poin soco ilang 510 poin . 2x konfirmasi dibilang maintenance terus .,2,Tampilan,poin soco hilang 510 poin kali konfirmasi dibilang maintenance terus
65,2020-09-29 20:31:49,1,Banyakin diskon/event🥺 hyung. Nyaman banget belanja di sociolla,5,Layanan,perbanyak diskon event hyung nyaman sekali belanja di sociola
66,2020-09-29 14:34:25,1,"Bagus banget aplikasinya, kalo sale sering kasih kode buat belanja! Apalagi ditambah freeong itu menurut aku waw bgt terimakasih Sociolla! Lumayan bgt ongkir ke Jogja soalnya lumayan, oh iya kalian bisa juga ikutin event event sociolly ya. Jadi yuk dwonload aplikasinya sekarang!😋✨",5,Layanan,bagus sekali aplikasinya kalau sale selalu memberi kode untuk belanja apalagi ditambah free ongkir itu menurut saya wah sekali terima kasih sociola lumayan sekali ongkir ke jogja karena lumayan oh iya kalian bisa juga ikutin event event sociolly ya jadi yuk download aplikasinya sekarang
67,2020-09-29 12:14:56,1,"Pernah beli disini, paket aman tp ga dianter ke lokasi",4,Layanan,pernah membeli disini paket aman tetapi tidak diantar ke lokasi
68,2020-09-29 09:12:48,1,Love sociolla,5,Lainnya,love sociola
69,2020-09-28 21:59:05,-1,Ini aplikasi suka retry gitu yah.?? Baru klik 1 produk ngetry ulang. Bingung akunyaa. 😑 Apa aku sendiri yah.?,2,Tampilan,ini aplikasi suka retry begitu ya baru klik produk ngetry ulang bingung saya apa saya sendiri ya
70,2020-09-28 21:40:15,1,Terbaik. Nomor 1 dihatiku. Lengkap. Sering diskon. Gak ribet,5,Layanan,terbaik nomor dihatiku lengkap selalu diskon tidak sulit
71,2020-09-28 21:28:52,1,Sukak bgt Seandainya ada some by mi,5,Lainnya,suka sekali seandainya ada some by mi
72,2020-09-28 15:23:56,1,Sangat bagus,5,Lainnya,sangat bagus
73,2020-09-28 15:03:10,1,"Rata2 aku liat ulasannya pada ga bagus ya. Alhamdulillah udah belanja ke 8 kalinya disini ga pernah ada masalah, malah puas bangetttt. Produknya original, walaupun memang harganya diatas rata2 online shop kebanyakan ya. Dan juga sering ada diskon ,jadi kalo beli banyak produk lumayan murah itungannya. Untuk pelayanan dari cs sampe dengan pengiriman semuanya baikk. Malah jasa pengiriman yang di pake sociolla, lebih cepet bangett ketimbang jne atau jnt. Overall puas belanja disini.",5,Layanan,rata rata saya melihat ulasannya pada tidak bagus ya alhamdulillah udah belanja ke kalinya disini tidak pernah ada masalah menjadi puas sekali produknya original walaupun memang harganya diatas rata rata online shop kebanyakan ya dan juga selalu ada diskon jadi kalau membeli banyak produk lumayan murah hitungan untuk pelayanan dari customer service sampe dengan pengiriman semuanya baik menjadi jasa pengiriman yang di pakai sociola lebih cepet sekali ketimbang jne atau jnt overall puas belanja disini
74,2020-09-28 13:47:22,1,Helpfull,5,Lainnya,helpfull
75,2020-09-26 16:38:13,1,Pls sociolla sering2in voucher2 25rb dan berbagai diskon lainnya,5,Layanan,please sociola selalu voucher voucher 25 ribu dan berbagai diskon lainnya
76,2020-09-26 11:36:18,1,"Pengiriman cepat, aman, terpecaya. Recommended sekali si ini. ❤️❤️❤️",5,Layanan,pengiriman cepat aman terpecaya recommended sekali sih ini
77,2020-09-25 19:43:30,-1,"Barang yg dateng cuma 1. Katanya di refund tapi gajelas gimana refund nya. Email belum dibales, jdi ga mau lagi belanja disini. Ribet iya rugi iya uang belum kembali dari tgl 10😭",1,Layanan,barang yang datang hanya katanya di refund tetapi tidak jelas bagaimana refund nya email belum dibales jadi tidak ingin sedang belanja disini sulit iya rugi iya uang belum kembali dari tanggal 10
78,2020-09-25 13:53:40,0,"Kecewa banget,, udah order banyak ,,lama nunggu tiba"" dapat kabar kalo barang kosong dan akhirnya minta refund 6 september 2020 tadi,, eeh ini sudah tgl 11 september 2020 uangnya belum ada ditransfer... Kesel banget dah..",3,Layanan,kecewa sekali udah order banyak lama menunggu tiba dapat info kalau barang kosong dan akhirnya pinta refund september 2020 tadi eh ini sudah tanggal 11 september 2020 uangnya belum ada ditransfer kesal sekali deh
79,2020-09-25 11:48:18,1,"Sangat membantu, dan cocok untuk di rekomendasikan ke temen 😍",5,Layanan,sangat membantu dan cocok untuk di rekomendasikan ke teman
80,2020-09-25 11:36:01,-1,"KECEWA PARAH SAMA KURIR. berkali kali order di sociolla baru kali ini dapet kurir beda. Beda kalo sopan gapapa. Posisinya saya baru mau mandi udah lepas baju kurirnya dateng. Ya saya pake dululah baju saya masa iya nemuin kurir pake handuk. Kurir nya ketok pintu rumah kasar,. Yang lebih parah pintu garasi saya di gedor gedor. Sampe anak anak kecil yang main didepan rumah saya bilang ke saya takut. Sampe tetangga saya embah embah nanya itu tadi siapa dikiranya rentenir nagih utang. PARAH GA SOPAN",1,Layanan,kecewa parah sama kurir berkali kali order di sociola baru kali ini dapet kurir beda beda kalau sopan tidak apa apa posisinya saya baru ingin mandi udah lepas baju kurirnya datang ya saya pakai dahulu baju saya heran iya nemuin kurir pakai handuk kurir nya mengetuk pintu rumah kasar yang lebih parah pintu garasi saya di gedor gedor sampe anak anak kecil yang main didepan rumah saya bilang ke saya takut sampe tetangga saya lansia lansia nanya itu tadi siapa dikiranya rentenir nagih utang parah tidak sopan
81,2020-09-22 05:55:48,1,Saya Staff Di Warehouse Sociolla,5,Lainnya,saya staff di warehouse sociola
82,2020-09-21 20:36:04,1,Olshop terbaik,5,Lainnya,online shop terbaik
83,2020-09-21 15:31:11,-1,Pengemasan sama pengiriman lama bnget nyesel beli disini. Lebih baik ditoko oren ijo aja deh. App sama pelayanannya belum siap,1,Layanan,pengemasan sama pengiriman lama sekali menyesal membeli disini lebih baik ditoko orange hijau saja deh aplikasi sama pelayanannya belum siap
84,2020-09-20 14:44:48,1,Bagussss,5,Lainnya,bagus
85,2020-09-18 15:56:22,-1,Ga lagi deh belanja lewat e commerce ini. Pelayanannya kurang terus barang nya kosong harus refund nunggunya dr akhir agustus sampai skrg.,1,Layanan,tidak sedang deh belanja lewat nya commerce ini pelayanannya kurang terus barang nya kosong harus refund menunggu dari akhir agustus sampai sekarang
86,2020-09-18 11:44:23,1,gada fitur cancel sama kalo payment barcode nya suka ilang grgr kepencet pls semoga kedepannya diperbaiki ya,4,Tampilan,tidak ada fitur cancel sama kalau payment barcode nya suka hilang sebab kepencet please semoga kedepannya diperbaiki ya
87,2020-09-18 06:55:25,1,Good,5,Lainnya,good
88,2020-09-17 22:51:09,-1,"Kecewa banget asli, beli skincare 2 bundle itu produknya beda. Eh pasangan yg satunya ga dikirim dan ga ada konfirmasi. Orderan kedua 2, lama banget proses pengirimannya. Udah gitu tau² diemail stok ada yg kosong, Proses refund juga sangat lama.",1,Layanan,kecewa sekali asli membeli skincare bundle itu produknya beda lalu pasangan yang satunya tidak dikirim dan tidak ada konfirmasi orderan kedua lama sekali proses pengirimannya udah begitu tau tau di email stok ada yang kosong proses refund juga sangat lama
89,2020-09-17 00:08:20,-1,"Sedih bgt sih app soci sering loading lamaaaaa terus minta oerbarui terus, malah mending pake web. Tolomg diperbaiki ya min makasih",2,Tampilan,sedih sekali sih aplikasi sociola selalu loading lama terus pinta perbarui terus menjadi seharusnya pakai web tolong diperbaiki ya admin terima kasih
90,2020-09-16 05:10:08,1,"tiap kali buka aplikasi minta update mulu, astaga",4,Tampilan,setiap kali buka aplikasi pinta update terus astaga
91,2020-09-15 17:30:43,1,"Mungkin udah banyak orang resah soal ini tapi emng bener sistem di apk soco ini beda bgt sama apk e commers lain, minggu ini udah order 3 kali tapi 3 dari 2 nya itu di refund karena alasan stock kosong, di refund pertama kalinya sih gppa ya karena emng mungkin abis dan ga ke update stocknya diapk tapi pas order LAGI terus di refund LAGI gara² stock kosong LAGI, Saya kesel ternyata emng sistem apk nya yang belum bisa sebanding sama e commers lain kaya shopee yang bener bisa update stock realtime",5,Tampilan,mungkin udah banyak orang resah soal ini tetapi memang benar sistem di aplikasi soco ini beda sekali sama aplikasi nya commers lain minggu ini udah order kali tetapi dari nya itu di refund karena alasan stock kosong di refund pertama kalinya sih tidak apa apa ya karena memang mungkin habis dan tidak ke update stocknya di aplikasi tetapi saat order sedang terus di refund sedang sebab stock kosong sedang saya kesal ternyata memang sistem aplikasi nya yang belum bisa sebanding sama nya commers lain seperti shopee yang benar bisa update stock realtime
92,2020-09-14 07:17:08,1,"So far sih masih nyaman dan bagus, gak lemot juga. Keep it uo soco",5,Tampilan,so far sih masih nyaman dan bagus tidak lama juga keep it uo soco
93,2020-09-12 10:06:37,1,Banyak promo,5,Layanan,banyak promo
94,2020-09-12 00:13:06,0,"pas nyoba liat2 harganya, promonya standar yah. masi ada yg lebih murah. produknya jg kurang lengkap",3,Produk,saat nyoba lihat lihat harganya promonya standar ya masih ada yang lebih murah produknya juga kurang lengkap
95,2020-09-10 21:11:14,1,Bguss xixi,5,Lainnya,bagus tertawa
96,2020-09-10 15:22:39,-1,"Tolong kerjasama sama pengantaran jasa barang yang terpercaya, gue tau ini bukan salah soco, tapi pengantaran nya tu lama banget astaga :( pliss lahhh kerjasama tu sama jne jte hadehh",1,Layanan,tolong kerjasama sama pengantaran jasa barang yang terpercaya saya tahu ini bukan salah soco tetapi pengantaran nya itu lama sekali astaga please lah kerjasama itu sama jne jte hadeh
97,2020-09-10 10:26:47,-1,"Tolong jual produk the ordinary dan Carave, dan produk luar lainnya juga. Agar lbh mantap dan laris pembelian dari konsumen. Jgn produk korea mulu capeee gue serius caprrrt",1,Produk,tolong jual produk the ordinary dan carave dan produk luar lainnya juga supaya lebih mantap dan laris pembelian dari konsumen jangan produk korea terus lelah saya sungguh lelah
